name,lat,long,alt,heading
France_Manche_Cherbourg_HMAC 11 29 mer,49.631329,-1.740315,174.0,0.21989391870765074
France_Manche_Cherbourg_HMAC 04 22 bois,49.63131,-1.74037,174.0,-0.9357662341762546
France_Manche_Cherbourg_HMAC F3C MER,49.6312883,-1.7397745,174.0,0.1511155254942234
France_Manche_Cherbourg_HMAC F3C BOIS,49.6308888,-1.7408322,174.0,-0.9460945192776603
France_Normandie_Aubermesnil Beaumais_CMD,49.8490981,1.1109532,105.0,1.9720663240014678
France_Normandie_Aubermesnil Beaumais_CMD 2,49.8490981,1.1109532,105.0,2.743788151919563
France_Rhône Alpes_Reyrieux_MACB,45.931553,4.845387,272.0,1.6045901429927198
France_Yvelines_Crespières_S1,48.878793,1.899207,116.0,-0.2855681570980339
France_Yvelines_Saclay_CMS,48.720015,2.191299,48.7,-0.6153158737978991
Germany_Hessen_Berkach_LufthansaSportverein,49.891966,8.477207,86.0,-1.4436543888038853
Germany_Hessen_Dreieich_FSV Dreieich,50.021176,8.718156,151.0,2.657521114616398
Israel_Drom Hasharon_Hod Hasharon_Ashrad,32.1436321,34.9153338,24.0,-0.5335409457310698
Israel_Tel Aviv-Yafo_Petah Tikva_Line 1,32.1131166,34.8881005,17.0,0.15468726487668294
Italy_Emiglia-Romanga_Rimini_La Fenice,44.050254,12.491563,26.0,0.05039426365611683
Italy_South Tirol_Brixen_Buschflieger,46.75729,11.64862,674.0,-0.9403274643498634
Italy_South Tirol_Albions_Curnacins,46.628334,11.567692,891.0,-0.8092828367107947
日本 Japan_Aichi_Nagoya_TOKAI-RC,35.1611294,136.6503037,0.0,0.7557868652590269
日本 Japan_Aichi_Nisio_YRF-YAHAGI,34.8477768,136.9912675,0.0,-1.0557450917832634
日本 Japan_Aichi_Toyota_KAT,35.02954,137.162499,25.0,2.1849221443929774
日本 Japan_Chiba_Kashiwa_FFC,35.912283,139.983218,10.0,0.4623732579345552
日本 Japan_Chiba_Noda_Jump1,36.044643,139.83043,6.8,0.8255964968819441
日本 Japan_Fukui_FAC_Egami,36.133176,136.175973,2.0,1.7601811025526672
日本 Japan_Fukui_FAC_Yamamuro,36.22251711,136.2543759,25.0,2.7220860310662407
日本 Japan_Fukui_Sakai_FAC-Huseda,36.153463,136.161959,4.0,1.2740285842619927
日本 Japan_Fukushima_Fukushima_EW,37.2931518825118,140.402047075462,237.0,0.09111014552329848
日本 Japan_Fukuoka_Nakama_Onga,33.821217,130.703241,2.0,0.7893193149358843
日本 Japan_Gifu_Hasima_GMH-gifumokei,35.31627,136.66923,8.1,-1.0429285747680712
日本 Japan_Gifu_Hasima_club-NFC,35.3067724,136.6667575,8.1,-1.8461776539638266
日本 Japan_Gifu_Huwagunn_Taruityou,35.273358,136.609776,4.0,1.737297814227397
日本 Japan_Gifu_Seinou_FC,35.273358,136.609776,4.0,1.737297814227397
日本 Japan_Hiroshima_Akitakata_Tejas RC,34.718982,132.738279,280.0,-0.7113855623013571
日本 Japan_Hiroshima_Kure_Kure RC,34.183008,132.690785,3.0,-3.084236120932086
日本 Japan_Hokkaido_Sapporo_Kakuyama1,43.134293,141.4895181,4.0,1.0454277513659056
日本 Japan_Hokuriku_Kurobe_NKRC,36.90021,137.45526,20.0,0.4707316177405799
日本 Japan_Ibaraki_Moriya_IM,35.9945037,139.9753667,14.0,1.220306011216048
日本 Japan_Ibaraki_Moriya_Joso FC,35.939072,139.94775,14.0,0.8447961213391673
日本 Japan_Ibaraki_Oba_Hitachi Skyangel RCC,36.50423,140.382995,15.6,1.0281438123235105
日本 Japan_Ibaraki_Tokai_TMFC,36.503369,140.548624,4.7,0.0679801029769313
日本 Japan_Iiyama_Sakai_EYama,36.872055,138.386587,313.0,-1.05142670064258
日本 Japan_Iwata_IWATA-RC_1,34.799956,137.828458,21.0,-1.3770836750635909
日本 Japan_Iwata_IWATA-RC_2,34.800039,137.8284773,21.0,-1.2083577399341838
日本 Japan_Iwata_IWATA-RC_3,34.800039,137.8284773,21.0,-1.701592266654984
日本 Japan_Iwate_Karumai_Oka RC Club,40.291929,141.497923,283.0,0.5140738994438685
日本 Japan_高知県_高知市_KRC,33.46336,133.477726,3.1,0.32487069942106894
日本 Japan_Kantou_Kanagawa_Asunalo,35.394128,139.397648,17.0,1.8709139838729631
日本 Japan_Kantou_Kanagawa_Syounan Heli,35.346817,139.371585,8.3,-1.5707963267948966
日本 Japan_Kyoto_Fukuchiyama_KMA_oninosato,35.390025,135.169869,4.0,2.809995617495095
日本 Japan_Miyagi_Sendai_Sendai RC Club,38.1962208,140.9324508,2.0,0.6308878298684315
日本 Japan_Miyazaki_Nobeoka_Sasikino,32.62616,131.692056,6.0,2.4201025438713386
日本 Japan_Nagano_Ina_ITFC,35.790702,137.951724,602.0,1.4605755085023155
日本 Japan_Nagano_Ochiai_NF1,36.622327,138.244892,340.0,2.341805263039086
日本 Japan_Saitama_Hanyu_GRCC,36.197785,139.553875,20.0,-0.1590584041072383
日本 Japan_Saitama_Kazo_Asuka,36.1726426,139.6514941,15.0,0.45222828450464897
日本 Japan_Saitama_Kodama_CWFC,36.231625,139.093778,81.0,-0.9058315985384964
日本 Japan_Saitama_Kounosu_BNF,36.037238,139.496557,9.0,1.2007037174664785
日本 Japan_Saitama_Kumagaya_MBP2,36.081322,139.440693,25.0,1.1827605758293362
日本 Japan_Saitama_Kumagaya_KRSC,36.1275623,139.38511787,28.0,0.573548114192849
日本 Japan_Saitama_Saitama_A1 Club,35.8771655,139.5760288,9.3,0.9939655794863218
日本 Japan_Saitama_Sakura-ku_CFC,35.86972,139.580836,7.0,1.184207380016863
日本 Japan_Shizuoka_Abekawa_Skyers,35.0156406,138.3619137,60.0,2.1430427098266795
日本 Japan_Tochigi_Utsunomiya_URFC,36.719716,139.900417,192.0,0.22736436768681934
日本 Japan_Tochigi_Utsunomiya_YGRC,36.590737,139.965957,124.0,1.6508736433944144
日本 Japan_Tohoku_Yonezawa_YRC,37.9744608,140.1453838,219.0,1.8205748602328529
日本 Japan_Toyama_Tonami_TFC,36.634792,137.000605,56.0,1.7960360233955326
日本 Japan_Toyama_Toyama_TFC,36.653578,137.280862,78.0,1.5707963267948966
日本 Japan_和歌山県 Wakayama_紀ノ国 Kinokuni_Kinokuni FC,34.257988,135.38366,27.0,2.5305914969721996
日本 Japan_Yamaguchi_Abuchou_Fukuga Flying Club,34.504672,131.599328,544.0,0.46094299962917545
The Netherlands_Brabant_Oss_Delta Oss,51.7851,5.51462,4.0,-0.6891654596257857
The Netherlands_Groningen_Ter Apel_MTA,52.92043,7.06772,-5.0,0.9059205581152787
The Netherlands_Groningen_Ter Apel_MTA NNO,52.92047,7.06779,-5.0,0.3521677261433877
The Netherlands_ZH_GMVC_045,52.0749018,4.6145487,0.0,2.297010125604194
The Netherlands_ZH_GMVC_090,52.0749219,4.6145774,0.0,-3.1280086093677277
New Zealand_Canterbury_Christchurch_Christchurch MAC,-43.4748340016666,172.318133731666,123.0,3.0661033485584968
New Zealand_Hawkes Bay_Norsewood_Galloway 1,-40.023293626666664,176.24077082666668,367.0,3.1238351830191413
New Zealand_Hawkes Bay_Norsewood_Galloway 2,-40.02329363,176.2407708,367.0,2.0766228928911294
New Zealand_Manawatu_Pahiatua_Woods 1,-40.445586605,175.806972025,168.0,-0.10889734428261427
New Zealand_Manawatu_Palmerston North_Aeroneers 1,-40.20333359666667,175.643035375,116.0,-1.894753523497481
New Zealand_Manawatu_Woodville_Line 1,-40.312506631666665,175.90712269666668,144.0,-3.100087696983452
New Zealand_Matamata_Waharoa_MPMACF4,-37.73052,175.743187,51.0,2.6478404158234343
New Zealand_Waikato_Hamilton_Hamilton MAC,-37.8359967,175.26017,53.0,2.869948244105621
New Zealand_Waikato_Pukekawa_Airsail MAC Runway,-37.3227076,175.0391587,57.0,-3.139077257359774
New Zealand_Wairarapa_Carterton_Nats 2021,-41.0095051,175.5678963,89.0,2.585529061836606
New Zealand_Wairarapa_Carterton_Nats 2022 #1,-41.00965278,175.568429,90.0,2.60590284189464
New Zealand_Wairarapa_Carterton_Nats 2022 #2,-41.00965278,175.568429,90.0,-2.630098742261618
Norway_Akershus_Sorum_Gjerdrum MFK,60.055012,11.194707,145.0,1.775946276526989
Norway_Buskerud_Kongsberg_KMFK,59.5891307,9.7859266,70.0,1.879512156062143
Norway_Innlandet_Tynset_Tynset Flyplass,62.257257,10.669259,480.0,2.398701912228498
Norway_Oppland_Lena_GOMFK Airport,60.590584,10.685999,443.0,1.9728845619718531
Norway_Oppland_Lena_GOMFK Airport 2,60.59099,10.68623,443.0,1.2739747588146564
Norway_Trondelag_Trondheim_Udduvoll Airfield,63.3193793,10.2719935,19.0,0.6072826152947867
Norway_Vestfold_Tønsberg_Jarlsberg,59.294969,10.368608,12.0,-1.6069014725837558
Norway_Viken_Frederikstad_Gansrød,59.1905291,10.9960431,5.0,-0.7272500005474168
Norway_Viken_Hønefoss_Lamyra RMFK,60.1166833,10.2535756,77.0,1.078136405260016
Norway_Viken_Kråkstad_Vingtor 1,59.632072,10.8916946,103.0,1.0749585401137733
Norway_Viken_Frederikstad_Gansrød,59.1905291,10.9960431,5.0,-0.7272500005474168
Norway_Viken_Vestby_Crashalot,59.636602,10.712072,93.0,-1.0319138713443312
Peru_Arequipa_Arequipa_Pista Club AQP,-16.3785238,-71.6022621,2341.7,2.9205201063841986
Peru_Santa Maria_Santa Maria_Uyuyuy,-12.3993388,-76.7688977,34.0,3.0735633899551074
Polska_Opolskie_Grodków_Lipowa,50.732882,17.423685,164.0,0.8964250451863396
Polska_Podkarpackie_RKLM_East zone,49.9674125,21.9575088,205.0,1.4530895494146572
Polska_Podkarpackie_RKLM_North zone,49.967413,21.957509,205.0,-0.09310058164948383
Polska_Podkarpackie_Tuszów Narodowy_East RWY,50.3737275,21.4855725,157.0,2.003385107368788
Polska_Warszawa_Grodzisk_Chudoby,52.330135,21.07349,79.0,-0.0825176787301574
Saudi Arabia_Riyadh_Banban_RC Field 1,24.942058,46.58379,663.0,1.1318431983315418
Saudi Arabia_Riyadh_Banban_RC Field 2,24.945651,46.582275,663.0,-2.0168686317095323
Saudi Arabia_Riyadh_Banban_RC Field 3,24.9463872,46.5819323,663.0,-2.0157429051316154
Saudi Arabia_Riyadh_Banban_cross runway 1,24.9473024,46.5849255,663.0,-0.4328816166350963
Saudi Arabia_Riyadh_Banban_cross runway 2,24.9495896,46.585894,663.0,-0.43196207692320254
South Africa_Gauteng_Barnstormers_South,-26.012262,28.295955,1560.0,2.823544301428883
South Africa_Gauteng_NERF_Main,-26.071704,28.104736,1512.0,1.28843022954866
South Africa_Gauteng_NERF_Side,-26.071704,28.104736,1512.0,2.340055628350361
South Africa_Gauteng_PRF_Main,-25.883121,28.323747,1548.0,1.7216542998098576
South Africa_Gauteng_PRF_South,-25.883708,28.323535,1548.0,-2.8553156506704713
South Africa_Gauteng_WHRF_Main,-25.867335,28.086918,1461.0,2.223972126875309
South Africa_Gauteng_WHRF_Side,-25.867335,28.086918,1461.0,-3.009704717383973
South Africa_KZN_BRCC_R1,-29.528858,31.191822,97.0,-1.3858758059699807
South Africa_KZN_DMAC_R1,-29.745946,30.590546,744.0,-1.8694282817915742
South Africa_KZN_DMAC_R2,-29.745257,30.590207,744.0,-2.7249300986415257
South Africa_KZN_DSC_R1,-29.812111,29.398135,1635.0,-2.6593525987639155
South Africa_KZN_MMAC_R1,-29.677127,30.499108,742.0,-3.010747133362104
South Africa_KZN_Shongweni_R1,-29.796888,30.740967,613.0,-1.0988060081865274
South Africa_Western Cape_Cape Town_TMFC,-33.70484512152715,18.731722738176074,80.0,-2.212859917939694
South Korea_Choongbuk_CheongJu_SWclub,36.651212,127.352999,28.1,-1.5468308850803973
South Korea_FreeZone_Incheon_IAS,37.52017,126.609195,0.0,-1.557560216506291
South Korea_Gyeongsangbuk-do_Gyeongsangbuk-do-si_Bluewing,36.227771,128.322534,34.0,0.02326521168745567
South Korea_Gyounggi-do_Youngin_Youngin RC Club,37.110669,127.15795,24.0,0.008540149632888041
South Korea_Seoul_Gwangnaru_Gwangnaru RC Club,37.547381,127.11931,9.0,-1.2489052033028938
Switzerland_Switzerland_Aargau_Gnadenthal,47.3870206,8.300321,371.0,0.9925451730495528
Switzerland_Switzerland_Aargau_Auenstein,47.455637,8.152906,371.0,-0.03413608026977304
Switzerland_Switzerland_Dielsdorf_MG Wehntal,47.487865488,8.463508306,416.0,0.23580805031430435
Switzerland_Switzerland_Eglisau_MG Zürich,47.584802637,8.536884063,411.0,-0.12986116473062737
Switzerland_Switzerland_Flaachtal_South,47.5632558,8.6365915,440.0,1.6009261795689806
Switzerland_Switzerland_Flaachtal_North,47.5649468,8.6365099,440.0,0.4298695415989052
Switzerland_Switzerland_Muolen_Mfv-Bischofszell,47.5080887,9.322711,533.0,-0.05517889490275119
Switzerland_Switzerland_Raron_MG Raron,46.30390034061541,7.822135705508124,638.0,0.0264117925712422
Switzerland_Switzerland_Sierre_Gam Sierre,46.27207232748664,7.489284732330617,515.0,2.766121961646034
Switzerland_Switzerland_Thurgau_Roggwil,47.510149,9.37255,449.0,1.5910740043420326
Switzerland_Switzerland_Zuerich_MG-Sulzer,47.512315,8.779359,474.8,-0.8732874131170708
Switzerland_Switzerland_Zuerich_MV Pfaeffikon,47.3661412,8.8071755,633.0,0.9237205513189622
